Hot Topic,Total Views,Sentiment,Retweets,Total tweets
Gronk Dirty Hit,50000,Negative,69,15
Chris Pratt,50000,Positive,54,8
Bears Ears National Monument,50000,Positive,734,11
National Cookie Day,50000,Positive,286,14
Weather Channel,50000,Positive,28971,8
Corrine Brown,50000,Negative,970,10
Jay Z,50000,Positive,1498,8
Lamborghini Urus,50000,Positive,161,9
Jurassic World 2,50000,Positive,29299,11
IOTA,50000,Positive,47,8
Dow Jones,50000,Positive,342,6
Hour of Code,100000,Positive,260,2
Amber Alert Utah,100000,Negative,223,9
Melanie Martinez,100000,Positive,7850,10
Alvin Kamara,100000,Positive,1188,5
Shashi Kapoor,100000,Positive,679,8
Herm Edwards,100000,Positive,2727,6
Shohei Otani,100000,Positive,340,9
Finance,200000,Negative,152,7
LiAngelo Ball,200000,Positive,15024,5
